ID,ANIO,MES,TIPO_INCIDENTE,TIPO_DETALLE,COD_LOCALIDAD,LOCALIDAD,COD_UPZ,UPZ,CANT_INCIDENTES
20150116UPZ40905,2015,1,905,ATRACO / HURTO EN PROCESO,16,PUENTE ARANDA,UPZ40,CIUDAD MONTES,158
20150116UPZ41904,2015,1,904,HURTO EFECTUADO,16,PUENTE ARANDA,UPZ41,MUZU,36
20150116UPZ41905,2015,1,905,ATRACO / HURTO EN PROCESO,16,PUENTE ARANDA,UPZ41,MUZU,95
20150116UPZ43904,2015,1,904,HURTO EFECTUADO,16,PUENTE ARANDA,UPZ43,SAN RAFAEL,45
20150116UPZ43905,2015,1,905,ATRACO / HURTO EN PROCESO,16,PUENTE ARANDA,UPZ43,SAN RAFAEL,138
20150117UPZ94904,2015,1,904,HURTO EFECTUADO,17,CANDELARIA,UPZ94,LA CANDELARIA,24
20150117UPZ94905,2015,1,905,ATRACO / HURTO EN PROCESO,17,CANDELARIA,UPZ94,LA CANDELARIA,58
20150118UPZ36904,2015,1,904,HURTO EFECTUADO,18,RAFAEL URIBE URIBE,UPZ36,SAN JOSE,36
20150118UPZ36905,2015,1,905,ATRACO / HURTO EN PROCESO,18,RAFAEL URIBE URIBE,UPZ36,SAN JOSE,95
20150118UPZ39904,2015,1,904,HURTO EFECTUADO,18,RAFAEL URIBE URIBE,UPZ39,QUIROGA,46
20150118UPZ39905,2015,1,905,ATRACO / HURTO EN PROCESO,18,RAFAEL URIBE URIBE,UPZ39,QUIROGA,174
20150118UPZ53904,2015,1,904,HURTO EFECTUADO,18,RAFAEL URIBE URIBE,UPZ53,MARCO FIDEL SUAREZ,16
20150118UPZ53905,2015,1,905,ATRACO / HURTO EN PROCESO,18,RAFAEL URIBE URIBE,UPZ53,MARCO FIDEL SUAREZ,64
20150118UPZ54904,2015,1,904,HURTO EFECTUADO,18,RAFAEL URIBE URIBE,UPZ54,MARRUECOS,30
20150118UPZ54905,2015,1,905,ATRACO / HURTO EN PROCESO,18,RAFAEL URIBE URIBE,UPZ54,MARRUECOS,135
20150118UPZ55904,2015,1,904,HURTO EFECTUADO,18,RAFAEL URIBE URIBE,UPZ55,DIANA TURBAY,17
20150118UPZ55905,2015,1,905,ATRACO / HURTO EN PROCESO,18,RAFAEL URIBE URIBE,UPZ55,DIANA TURBAY,97
20150119UPR3904,2015,1,904,HURTO EFECTUADO,19,CIUDAD BOLÍVAR,UPR3,UPR RIO TUNJUELO,15
20150119UPR3905,2015,1,905,ATRACO / HURTO EN PROCESO,19,CIUDAD BOLÍVAR,UPR3,UPR RIO TUNJUELO,60
20150119UPZ63905,2015,1,905,ATRACO / HURTO EN PROCESO,19,CIUDAD BOLÍVAR,UPZ63,EL MOCHUELO,8
20150119UPZ64904,2015,1,904,HURTO EFECTUADO,19,CIUDAD BOLÍVAR,UPZ64,MONTE BLANCO,6
20150119UPZ64905,2015,1,905,ATRACO / HURTO EN PROCESO,19,CIUDAD BOLÍVAR,UPZ64,MONTE BLANCO,9
